Transaction Ref,Gross Amount,Currency Code,Captured At,Idempotency Key
TXN-3MVDXHQ-000125,24267.37,INR,2026-08-19T17:43:12.587Z,gw-3MVDXHQ-TXN-3MVDXHQ-000125
TXN-3MVDXHQ-000126,47220.00,INR,2026-08-19T17:43:12.604Z,gw-3MVDXHQ-TXN-3MVDXHQ-000126
TXN-3MVDXHQ-000127,13167.64,INR,2026-08-19T17:43:12.751Z,gw-3MVDXHQ-TXN-3MVDXHQ-000127
TXN-3MVDXHQ-000128,10942.90,INR,2026-08-19T17:43:12.825Z,gw-3MVDXHQ-TXN-3MVDXHQ-000128
TXN-3MVDXHQ-000129,12625.53,INR,2026-08-19T17:43:12.959Z,gw-3MVDXHQ-TXN-3MVDXHQ-000129
TXN-3MVDXHQ-000130,47585.86,INR,2026-08-19T17:43:13.083Z,gw-3MVDXHQ-TXN-3MVDXHQ-000130
TXN-3MVDXHQ-000131,25115.68,INR,2026-08-19T17:43:13.103Z,gw-3MVDXHQ-TXN-3MVDXHQ-000131
TXN-3MVDXHQ-000132,23114.56,INR,2026-08-19T17:43:13.212Z,gw-3MVDXHQ-TXN-3MVDXHQ-000132
TXN-3MVDXHQ-000133,21116.87,INR,2026-08-19T17:43:13.329Z,gw-3MVDXHQ-TXN-3MVDXHQ-000133
TXN-3MVDXHQ-000134,1339.56,INR,2026-08-19T17:43:13.460Z,gw-3MVDXHQ-TXN-3MVDXHQ-000134
TXN-3MVDXHQ-000135,41386.55,INR,2026-08-19T17:43:13.536Z,gw-3MVDXHQ-TXN-3MVDXHQ-000135
TXN-3MVDXHQ-000136,24457.83,INR,2026-08-19T17:43:13.617Z,gw-3MVDXHQ-TXN-3MVDXHQ-000136
TXN-3MVDXHQ-000137,19488.21,INR,2026-08-19T17:43:13.731Z,gw-3MVDXHQ-TXN-3MVDXHQ-000137
TXN-3MVDXHQ-000138,31516.06,INR,2026-08-19T17:43:13.888Z,gw-3MVDXHQ-TXN-3MVDXHQ-000138
TXN-3MVDXHQ-000139,21635.24,INR,2026-08-19T17:43:13.919Z,gw-3MVDXHQ-TXN-3MVDXHQ-000139
TXN-3MVDXHQ-000140,47047.87,INR,2026-08-19T17:43:14.084Z,gw-3MVDXHQ-TXN-3MVDXHQ-000140
TXN-3MVDXHQ-000140,47047.87,INR,2026-08-19T17:43:14.084Z,gw-3MVDXHQ-TXN-3MVDXHQ-000140
TXN-3MVDXHQ-000141,20122.90,INR,2026-08-19T17:43:14.128Z,gw-3MVDXHQ-TXN-3MVDXHQ-000141
TXN-3MVDXHQ-000142,35331.19,INR,2026-08-19T17:43:14.221Z,gw-3MVDXHQ-TXN-3MVDXHQ-000142
TXN-3MVDXHQ-000143,38961.00,INR,2026-08-19T17:43:14.319Z,gw-3MVDXHQ-TXN-3MVDXHQ-000143
TXN-3MVDXHQ-000144,41495.14,INR,2026-08-19T17:43:14.445Z,gw-3MVDXHQ-TXN-3MVDXHQ-000144
TXN-3MVDXHQ-000145,48984.51,INR,2026-08-19T17:43:14.519Z,gw-3MVDXHQ-TXN-3MVDXHQ-000145
TXN-3MVDXHQ-000146,22221.04,INR,2026-08-19T17:43:14.658Z,gw-3MVDXHQ-TXN-3MVDXHQ-000146
TXN-3MVDXHQ-000147,22587.47,INR,2026-08-19T17:43:14.758Z,gw-3MVDXHQ-TXN-3MVDXHQ-000147
TXN-3MVDXHQ-000148,39673.18,INR,2026-08-19T17:43:14.887Z,gw-3MVDXHQ-TXN-3MVDXHQ-000148
TXN-3MVDXHQ-000149,11837.70,INR,2026-08-19T17:43:14.964Z,gw-3MVDXHQ-TXN-3MVDXHQ-000149
TXN-3MVDXHQ-000150,7433.30,INR,2026-08-19T17:43:15.047Z,gw-3MVDXHQ-TXN-3MVDXHQ-000150
TXN-3MVDXHQ-000151,21395.95,INR,2026-08-19T17:43:15.196Z,gw-3MVDXHQ-TXN-3MVDXHQ-000151
TXN-3MVDXHQ-000152,22313.97,INR,2026-08-19T17:43:15.257Z,gw-3MVDXHQ-TXN-3MVDXHQ-000152
TXN-3MVDXHQ-000153,9870.93,INR,2026-08-19T17:43:15.366Z,gw-3MVDXHQ-TXN-3MVDXHQ-000153
TXN-3MVDXHQ-000154,31451.41,INR,2026-08-19T17:43:15.478Z,gw-3MVDXHQ-TXN-3MVDXHQ-000154
TXN-3MVDXHQ-000155,2633.63,INR,2026-08-19T17:43:15.569Z,gw-3MVDXHQ-TXN-3MVDXHQ-000155
TXN-3MVDXHQ-000156,26565.85,INR,2026-08-19T17:43:15.629Z,gw-3MVDXHQ-TXN-3MVDXHQ-000156
TXN-3MVDXHQ-000157,37464.57,INR,2026-08-19T17:43:15.766Z,gw-3MVDXHQ-TXN-3MVDXHQ-000157
TXN-3MVDXHQ-000158,21355.25,INR,2026-08-19T17:43:15.872Z,gw-3MVDXHQ-TXN-3MVDXHQ-000158
TXN-3MVDXHQ-000159,1116.73,INR,2026-08-19T17:43:15.933Z,gw-3MVDXHQ-TXN-3MVDXHQ-000159
TXN-3MVDXHQ-000160,30903.88,INR,2026-08-19T17:43:16.054Z,gw-3MVDXHQ-TXN-3MVDXHQ-000160
TXN-3MVDXHQ-000161,16547.23,INR,2026-08-19T17:43:16.162Z,gw-3MVDXHQ-TXN-3MVDXHQ-000161
TXN-3MVDXHQ-000162,31448.45,INR,2026-08-19T17:43:16.212Z,gw-3MVDXHQ-TXN-3MVDXHQ-000162
TXN-3MVDXHQ-000163,22917.80,INR,2026-08-19T17:43:16.301Z,gw-3MVDXHQ-TXN-3MVDXHQ-000163
TXN-3MVDXHQ-000164,8857.19,INR,2026-08-19T17:43:16.433Z,gw-3MVDXHQ-TXN-3MVDXHQ-000164
TXN-3MVDXHQ-000165,47463.79,INR,2026-08-19T17:43:16.562Z,gw-3MVDXHQ-TXN-3MVDXHQ-000165
TXN-3MVDXHQ-000166,38853.18,INR,2026-08-19T17:43:16.601Z,gw-3MVDXHQ-TXN-3MVDXHQ-000166
TXN-3MVDXHQ-000167,41040.66,INR,2026-08-19T17:43:16.736Z,gw-3MVDXHQ-TXN-3MVDXHQ-000167
TXN-3MVDXHQ-000168,25943.46,INR,2026-08-19T17:43:16.868Z,gw-3MVDXHQ-TXN-3MVDXHQ-000168
TXN-3MVDXHQ-000169,7430.32,INR,2026-08-19T17:43:16.922Z,gw-3MVDXHQ-TXN-3MVDXHQ-000169
TXN-3MVDXHQ-000170,40956.78,INR,2026-08-19T17:43:17.093Z,gw-3MVDXHQ-TXN-3MVDXHQ-000170
TXN-3MVDXHQ-000171,34655.23,INR,2026-08-19T17:43:17.148Z,gw-3MVDXHQ-TXN-3MVDXHQ-000171
TXN-3MVDXHQ-000172,34861.76,INR,2026-08-19T17:43:17.247Z,gw-3MVDXHQ-TXN-3MVDXHQ-000172
TXN-3MVDXHQ-000173,7566.05,INR,2026-08-19T17:43:17.400Z,gw-3MVDXHQ-TXN-3MVDXHQ-000173
TXN-3MVDXHQ-000174,48094.98,INR,2026-08-19T17:43:17.403Z,gw-3MVDXHQ-TXN-3MVDXHQ-000174
TXN-3MVDXHQ-000175,17161.26,INR,2026-08-19T17:43:17.573Z,gw-3MVDXHQ-TXN-3MVDXHQ-000175
TXN-3MVDXHQ-000175,17161.26,INR,2026-08-19T17:43:17.573Z,gw-3MVDXHQ-TXN-3MVDXHQ-000175
TXN-3MVDXHQ-000176,34771.87,INR,2026-08-19T17:43:17.677Z,gw-3MVDXHQ-TXN-3MVDXHQ-000176
TXN-3MVDXHQ-000177,6680.46,INR,2026-08-19T17:43:17.726Z,gw-3MVDXHQ-TXN-3MVDXHQ-000177
TXN-3MVDXHQ-000178,28654.40,INR,2026-08-19T17:43:17.843Z,gw-3MVDXHQ-TXN-3MVDXHQ-000178
TXN-3MVDXHQ-000179,3557.75,INR,2026-08-19T17:43:17.962Z,gw-3MVDXHQ-TXN-3MVDXHQ-000179
TXN-3MVDXHQ-000180,3424.77,INR,2026-08-19T17:43:18.054Z,gw-3MVDXHQ-TXN-3MVDXHQ-000180
TXN-3MVDXHQ-000181,45883.03,INR,2026-08-19T17:43:18.117Z,gw-3MVDXHQ-TXN-3MVDXHQ-000181
TXN-3MVDXHQ-000182,35015.12,INR,2026-08-19T17:43:18.202Z,gw-3MVDXHQ-TXN-3MVDXHQ-000182
TXN-3MVDXHQ-000183,3032.62,INR,2026-08-19T17:43:18.304Z,gw-3MVDXHQ-TXN-3MVDXHQ-000183
TXN-3MVDXHQ-000184,10020.18,INR,2026-08-19T17:43:18.474Z,gw-3MVDXHQ-TXN-3MVDXHQ-000184
TXN-3MVDXHQ-000185,4066.73,INR,2026-08-19T17:43:18.559Z,gw-3MVDXHQ-TXN-3MVDXHQ-000185
TXN-3MVDXHQ-000186,15542.37,INR,2026-08-19T17:43:18.693Z,gw-3MVDXHQ-TXN-3MVDXHQ-000186
TXN-3MVDXHQ-000187,47495.92,INR,2026-08-19T17:43:18.764Z,gw-3MVDXHQ-TXN-3MVDXHQ-000187
TXN-3MVDXHQ-000188,26444.93,INR,2026-08-19T17:43:18.868Z,gw-3MVDXHQ-TXN-3MVDXHQ-000188
TXN-3MVDXHQ-000189,41915.05,INR,2026-08-19T17:43:18.915Z,gw-3MVDXHQ-TXN-3MVDXHQ-000189
TXN-3MVDXHQ-000190,30811.19,INR,2026-08-19T17:43:19.087Z,gw-3MVDXHQ-TXN-3MVDXHQ-000190
TXN-3MVDXHQ-000191,22691.57,INR,2026-08-19T17:43:19.180Z,gw-3MVDXHQ-TXN-3MVDXHQ-000191
TXN-3MVDXHQ-000192,45859.49,INR,2026-08-19T17:43:19.254Z,gw-3MVDXHQ-TXN-3MVDXHQ-000192
TXN-3MVDXHQ-000193,8284.56,INR,2026-08-19T17:43:19.316Z,gw-3MVDXHQ-TXN-3MVDXHQ-000193
TXN-3MVDXHQ-000194,37906.99,INR,2026-08-19T17:43:19.497Z,gw-3MVDXHQ-TXN-3MVDXHQ-000194
TXN-3MVDXHQ-000195,47904.52,INR,2026-08-19T17:43:19.555Z,gw-3MVDXHQ-TXN-3MVDXHQ-000195
TXN-3MVDXHQ-000196,36013.48,INR,2026-08-19T17:43:19.652Z,gw-3MVDXHQ-TXN-3MVDXHQ-000196
TXN-3MVDXHQ-000197,18727.03,INR,2026-08-19T17:43:19.724Z,gw-3MVDXHQ-TXN-3MVDXHQ-000197
