entry_id,txn_reference,posted_value,ccy,posted_at
ENTRY-TXN-0003MV-00000077,TXN-0003MV-00000077,14171.89,INR,2026-08-19T17:43:08.132Z
ENTRY-TXN-0003MV-00000078,TXN-0003MV-00000078,24179.89,INR,2026-08-19T17:43:08.534Z
ENTRY-TXN-0003MV-00000079,TXN-0003MV-00000079,5389.90,INR,2026-08-19T17:43:08.366Z
ENTRY-TXN-0003MV-00000080,TXN-0003MV-00000080,44095.15,INR,2026-08-19T17:43:08.803Z
ENTRY-TXN-0003MV-00000081,TXN-0003MV-00000081,40327.26,INR,2026-08-19T17:43:08.986Z
ENTRY-TXN-0003MV-00000082,TXN-0003MV-00000082,14809.97,INR,2026-08-19T17:43:08.996Z
ENTRY-TXN-0003MV-00000083,TXN-0003MV-00000083,44618.51,INR,2026-08-19T17:43:08.810Z
ENTRY-TXN-0003MV-00000084,TXN-0003MV-00000084,18460.72,INR,2026-08-19T17:43:09.090Z
ENTRY-TXN-0003MV-00000085,TXN-0003MV-00000085,31021.01,INR,2026-08-19T17:43:09.193Z
ENTRY-TXN-0003MV-00000086,TXN-0003MV-00000086,36242.93,INR,2026-08-19T17:43:09.048Z
ENTRY-TXN-0003MV-00000087,TXN-0003MV-00000087,1411.93,INR,2026-08-19T17:43:09.419Z
ENTRY-TXN-0003MV-00000088,TXN-0003MV-00000088,48995.32,INR,2026-08-19T17:43:09.651Z
ENTRY-TXN-0003MV-00000089,TXN-0003MV-00000089,48818.59,INR,2026-08-19T17:43:09.641Z
ENTRY-TXN-0003MV-00000090,TXN-0003MV-00000090,37582.52,INR,2026-08-19T17:43:09.477Z
ENTRY-TXN-0003MV-00000091,TXN-0003MV-00000091,40701.19,INR,2026-08-19T17:43:09.897Z
ENTRY-TXN-0003MV-00000092,TXN-0003MV-00000092,28760.92,INR,2026-08-19T17:43:09.913Z
ENTRY-TXN-0003MV-00000093,TXN-0003MV-00000093,25275.40,INR,2026-08-19T17:43:09.999Z
ENTRY-TXN-0003MV-00000094,TXN-0003MV-00000094,31795.63,INR,2026-08-19T17:43:10.252Z
ENTRY-TXN-0003MV-00000095,TXN-0003MV-00000095,14068.93,INR,2026-08-19T17:43:09.946Z
ENTRY-TXN-0003MV-00000096,TXN-0003MV-00000096,49427.34,INR,2026-08-19T17:43:10.230Z
ENTRY-TXN-0003MV-00000097,TXN-0003MV-00000097,34303.93,INR,2026-08-19T17:43:10.649Z
ENTRY-TXN-0003MV-00000098,TXN-0003MV-00000098,48293.56,INR,2026-08-19T17:43:10.330Z
ENTRY-TXN-0003MV-00000099,TXN-0003MV-00000099,27066.31,INR,2026-08-19T17:43:10.826Z
ENTRY-TXN-0003MV-00000100,TXN-0003MV-00000100,7077.66,INR,2026-08-19T17:43:10.489Z
ENTRY-TXN-0003MV-00000101,TXN-0003MV-00000101,48168.32,INR,2026-08-19T17:43:10.513Z
ENTRY-TXN-0003MV-00000102,TXN-0003MV-00000102,32869.83,INR,2026-08-19T17:43:10.677Z
ENTRY-TXN-0003MV-00000103,TXN-0003MV-00000103,9568.96,INR,2026-08-19T17:43:10.904Z
ENTRY-TXN-0003MV-00000104,TXN-0003MV-00000104,39882.29,INR,2026-08-19T17:43:10.940Z
ENTRY-TXN-0003MV-00000105,TXN-0003MV-00000105,13089.04,INR,2026-08-19T17:43:11.082Z
ENTRY-TXN-0003MV-00000106,TXN-0003MV-00000106,34286.30,INR,2026-08-19T17:43:11.225Z
ENTRY-TXN-0003MV-00000107,TXN-0003MV-00000107,9021.50,INR,2026-08-19T17:43:11.388Z
ENTRY-TXN-0003MV-00000108,TXN-0003MV-00000108,37487.60,INR,2026-08-19T17:43:11.539Z
ENTRY-TXN-0003MV-00000109,TXN-0003MV-00000109,14734.86,INR,2026-08-19T17:43:11.459Z
ENTRY-TXN-0003MV-00000110,TXN-0003MV-00000110,46007.23,INR,2026-08-19T17:43:11.817Z
ENTRY-TXN-0003MV-00000112,TXN-0003MV-00000112,40639.23,INR,2026-08-19T17:43:11.844Z
ENTRY-TXN-0003MV-00000113,TXN-0003MV-00000113,24785.33,INR,2026-08-19T17:43:12.004Z
ENTRY-TXN-0003MV-00000114,TXN-0003MV-00000114,37718.94,INR,2026-08-19T17:43:11.984Z
ENTRY-TXN-0003MV-00000115,TXN-0003MV-00000115,13226.29,INR,2026-08-19T17:43:11.978Z
ENTRY-TXN-0003MV-00000116,TXN-0003MV-00000116,15784.61,INR,2026-08-19T17:43:12.191Z
ENTRY-TXN-0003MV-00000118,TXN-0003MV-00000118,34786.12,INR,2026-08-19T17:43:12.257Z
ENTRY-TXN-0003MV-00000119,TXN-0003MV-00000119,42365.57,INR,2026-08-19T17:43:12.738Z
ENTRY-TXN-0003MV-00000120,TXN-0003MV-00000120,6974.17,INR,2026-08-19T17:43:12.448Z
ENTRY-TXN-0003MV-00000121,TXN-0003MV-00000121,4663.91,INR,2026-08-19T17:43:12.928Z
ENTRY-TXN-0003MV-00000123,TXN-0003MV-00000123,35567.29,INR,2026-08-19T17:43:12.829Z
ENTRY-TXN-0003MV-00000124,TXN-0003MV-00000124,6010.55,INR,2026-08-19T17:43:13.169Z
ENTRY-TXN-0003MV-00000125,TXN-0003MV-00000125,24267.37,INR,2026-08-19T17:43:13.215Z
ENTRY-TXN-0003MV-00000126,TXN-0003MV-00000126,47220.00,INR,2026-08-19T17:43:13.111Z
ENTRY-TXN-0003MV-00000127,TXN-0003MV-00000127,13167.64,INR,2026-08-19T17:43:13.406Z
ENTRY-TXN-0003MV-00000128,TXN-0003MV-00000128,10942.90,INR,2026-08-19T17:43:13.434Z
ENTRY-TXN-0003MV-00000129,TXN-0003MV-00000129,12625.53,INR,2026-08-19T17:43:13.826Z
ENTRY-TXN-0003MV-00000130,TXN-0003MV-00000130,47585.86,INR,2026-08-19T17:43:13.708Z
ENTRY-TXN-0003MV-00000131,TXN-0003MV-00000131,25115.68,INR,2026-08-19T17:43:14.215Z
ENTRY-TXN-0003MV-00000132,TXN-0003MV-00000132,23114.56,INR,2026-08-19T17:43:13.843Z
ENTRY-TXN-0003MV-00000133,TXN-0003MV-00000133,21116.87,INR,2026-08-19T17:43:13.877Z
ENTRY-TXN-0003MV-00000134,TXN-0003MV-00000134,1339.56,INR,2026-08-19T17:43:14.242Z
ENTRY-TXN-0003MV-00000135,TXN-0003MV-00000135,41386.55,INR,2026-08-19T17:43:14.174Z
ENTRY-TXN-0003MV-00000136,TXN-0003MV-00000136,24457.83,INR,2026-08-19T17:43:14.146Z
ENTRY-TXN-0003MV-00000137,TXN-0003MV-00000137,19488.21,INR,2026-08-19T17:43:14.308Z
ENTRY-TXN-0003MV-00000138,TXN-0003MV-00000138,31516.06,INR,2026-08-19T17:43:14.592Z
ENTRY-TXN-0003MV-00000139,TXN-0003MV-00000139,21635.24,INR,2026-08-19T17:43:14.418Z
ENTRY-TXN-0003MV-00000140,TXN-0003MV-00000140,47047.87,INR,2026-08-19T17:43:14.934Z
ENTRY-TXN-0003MV-00000141,TXN-0003MV-00000141,20122.90,INR,2026-08-19T17:43:14.714Z
ENTRY-TXN-0003MV-00000142,TXN-0003MV-00000142,35331.19,INR,2026-08-19T17:43:14.425Z
ENTRY-TXN-0003MV-00000143,TXN-0003MV-00000143,38961.00,INR,2026-08-19T17:43:15.117Z
ENTRY-TXN-0003MV-00000144,TXN-0003MV-00000144,41495.14,INR,2026-08-19T17:43:15.008Z
ENTRY-TXN-0003MV-00000145,TXN-0003MV-00000145,48984.51,INR,2026-08-19T17:43:15.083Z
ENTRY-TXN-0003MV-00000146,TXN-0003MV-00000146,22221.04,INR,2026-08-19T17:43:15.335Z
ENTRY-TXN-0003MV-00000147,TXN-0003MV-00000147,22587.47,INR,2026-08-19T17:43:15.421Z
ENTRY-TXN-0003MV-00000148,TXN-0003MV-00000148,39673.18,INR,2026-08-19T17:43:15.354Z
ENTRY-TXN-0003MV-00000149,TXN-0003MV-00000149,11837.70,INR,2026-08-19T17:43:15.548Z
ENTRY-TXN-0003MV-00000150,TXN-0003MV-00000150,7433.30,INR,2026-08-19T17:43:16.033Z
ENTRY-TXN-0003MV-00000151,TXN-0003MV-00000151,21395.95,INR,2026-08-19T17:43:15.633Z
ENTRY-TXN-0003MV-00000152,TXN-0003MV-00000152,22313.97,INR,2026-08-19T17:43:16.070Z
ENTRY-TXN-0003MV-00000153,TXN-0003MV-00000153,9870.93,INR,2026-08-19T17:43:15.993Z
ENTRY-TXN-0003MV-00000154,TXN-0003MV-00000154,31451.41,INR,2026-08-19T17:43:15.870Z
ENTRY-TXN-0003MV-00000155,TXN-0003MV-00000155,2633.63,INR,2026-08-19T17:43:16.115Z
ENTRY-TXN-0003MV-00000156,TXN-0003MV-00000156,26565.85,INR,2026-08-19T17:43:16.139Z
ENTRY-TXN-0003MV-00000157,TXN-0003MV-00000157,37464.57,INR,2026-08-19T17:43:16.024Z
ENTRY-TXN-0003MV-00000158,TXN-0003MV-00000158,21355.25,INR,2026-08-19T17:43:16.849Z
ENTRY-TXN-0003MV-00000159,TXN-0003MV-00000159,1116.73,INR,2026-08-19T17:43:16.407Z
ENTRY-TXN-0003MV-00000160,TXN-0003MV-00000160,30903.88,INR,2026-08-19T17:43:16.416Z
ENTRY-TXN-0003MV-00000161,TXN-0003MV-00000161,16547.23,INR,2026-08-19T17:43:16.722Z
ENTRY-TXN-0003MV-00000162,TXN-0003MV-00000162,31448.45,INR,2026-08-19T17:43:16.791Z
ENTRY-TXN-0003MV-00000163,TXN-0003MV-00000163,23044.15,INR,2026-08-19T17:43:16.946Z
ENTRY-TXN-0003MV-00000164,TXN-0003MV-00000164,8857.19,INR,2026-08-19T17:43:16.938Z
ENTRY-TXN-0003MV-00000165,TXN-0003MV-00000165,47463.79,INR,2026-08-19T17:43:17.174Z
ENTRY-TXN-0003MV-00000166,TXN-0003MV-00000166,38853.18,INR,2026-08-19T17:43:17.373Z
ENTRY-TXN-0003MV-00000167,TXN-0003MV-00000167,41040.66,INR,2026-08-19T17:43:17.606Z
ENTRY-TXN-0003MV-00000168,TXN-0003MV-00000168,25943.46,INR,2026-08-19T17:43:17.493Z
ENTRY-TXN-0003MV-00000169,TXN-0003MV-00000169,7430.32,INR,2026-08-19T17:43:17.483Z
ENTRY-TXN-0003MV-00000170,TXN-0003MV-00000170,40956.78,INR,2026-08-19T17:43:17.600Z
ENTRY-TXN-0003MV-00000171,TXN-0003MV-00000171,34655.23,INR,2026-08-19T17:43:17.745Z
ENTRY-TXN-0003MV-00000172,TXN-0003MV-00000172,34861.76,INR,2026-08-19T17:43:17.572Z
ENTRY-TXN-0003MV-00000173,TXN-0003MV-00000173,7566.05,INR,2026-08-19T17:43:17.964Z
ENTRY-TXN-0003MV-00000174,TXN-0003MV-00000174,48094.98,INR,2026-08-19T17:43:18.073Z
ENTRY-TXN-0003MV-00000175,TXN-0003MV-00000175,17161.26,INR,2026-08-19T17:43:18.111Z
ENTRY-TXN-0003MV-00000176,TXN-0003MV-00000176,34771.87,INR,2026-08-19T17:43:18.163Z
ENTRY-TXN-0003MV-00000177,TXN-0003MV-00000177,6680.46,INR,2026-08-19T17:43:18.229Z
ENTRY-TXN-0003MV-00000178,TXN-0003MV-00000178,28654.40,INR,2026-08-19T17:43:18.490Z
ENTRY-TXN-0003MV-00000179,TXN-0003MV-00000179,3539.22,INR,2026-08-19T17:43:18.426Z
ENTRY-TXN-0003MV-00000180,TXN-0003MV-00000180,3424.77,INR,2026-08-19T17:43:18.704Z
ENTRY-TXN-0003MV-00000182,TXN-0003MV-00000182,35015.12,INR,2026-08-19T17:43:18.760Z
ENTRY-TXN-0003MV-00000183,TXN-0003MV-00000183,3032.62,INR,2026-08-19T17:43:19.185Z
ENTRY-TXN-0003MV-00000184,TXN-0003MV-00000184,10083.86,INR,2026-08-19T17:43:18.640Z
ENTRY-TXN-0003MV-00000185,TXN-0003MV-00000185,4066.73,INR,2026-08-19T17:43:19.112Z
ENTRY-TXN-0003MV-00000186,TXN-0003MV-00000186,15542.37,INR,2026-08-19T17:43:19.496Z
ENTRY-TXN-0003MV-00000187,TXN-0003MV-00000187,47495.92,INR,2026-08-19T17:43:19.274Z
ENTRY-TXN-0003MV-00000188,TXN-0003MV-00000188,26444.93,INR,2026-08-19T17:43:19.449Z
ENTRY-TXN-0003MV-00000189,TXN-0003MV-00000189,41915.05,INR,2026-08-19T17:43:19.591Z
ENTRY-TXN-0003MV-00000191,TXN-0003MV-00000191,22691.57,INR,2026-08-19T17:43:20.243Z
ENTRY-TXN-0003MV-00000192,TXN-0003MV-00000192,45859.49,INR,2026-08-19T17:43:20.104Z
ENTRY-TXN-0003MV-00000193,TXN-0003MV-00000193,8284.56,INR,2026-08-19T17:43:19.770Z
ENTRY-TXN-0003MV-00000194,TXN-0003MV-00000194,37906.99,INR,2026-08-19T17:43:20.078Z
ENTRY-TXN-0003MV-00000195,TXN-0003MV-00000195,47904.52,INR,2026-08-19T17:43:20.088Z
ENTRY-TXN-0003MV-00000196,TXN-0003MV-00000196,36013.48,INR,2026-08-19T17:43:20.138Z
ENTRY-TXN-0003MV-00000197,TXN-0003MV-00000197,18727.03,INR,2026-08-19T17:43:20.337Z
ENTRY-TXN-0003MV-00000198,TXN-0003MV-00000198,4005.26,INR,2026-08-19T17:43:20.365Z
ENTRY-TXN-0003MV-00000199,TXN-0003MV-00000199,29903.28,INR,2026-08-19T17:43:20.522Z
ENTRY-TXN-0003MV-00000200,TXN-0003MV-00000200,25257.74,INR,2026-08-19T17:43:20.769Z
ENTRY-TXN-0003MV-00000201,TXN-0003MV-00000201,10314.85,INR,2026-08-19T17:43:20.768Z
ENTRY-TXN-0003MV-00000202,TXN-0003MV-00000202,35915.97,INR,2026-08-19T17:43:20.723Z
ENTRY-TXN-0003MV-00000203,TXN-0003MV-00000203,45043.47,INR,2026-08-19T17:43:20.819Z
ENTRY-TXN-0003MV-00000204,TXN-0003MV-00000204,35337.04,INR,2026-08-19T17:43:21.085Z
ENTRY-TXN-0003MV-00000205,TXN-0003MV-00000205,2166.99,INR,2026-08-19T17:43:21.327Z
ENTRY-TXN-0003MV-00000206,TXN-0003MV-00000206,13441.58,INR,2026-08-19T17:43:21.443Z
ENTRY-TXN-0003MV-00000207,TXN-0003MV-00000207,15952.50,INR,2026-08-19T17:43:21.430Z
ENTRY-TXN-0003MV-00000208,TXN-0003MV-00000208,468.65,INR,2026-08-19T17:43:21.407Z
ENTRY-TXN-0003MV-00000209,TXN-0003MV-00000209,49766.62,INR,2026-08-19T17:43:21.417Z
ENTRY-TXN-0003MV-00000210,TXN-0003MV-00000210,7330.99,INR,2026-08-19T17:43:21.674Z
ENTRY-TXN-0003MV-00000211,TXN-0003MV-00000211,4186.54,INR,2026-08-19T17:43:22.075Z
ENTRY-TXN-0003MV-00000213,TXN-0003MV-00000213,38207.40,INR,2026-08-19T17:43:22.297Z
ENTRY-TXN-0003MV-00000215,TXN-0003MV-00000215,49813.72,INR,2026-08-19T17:43:22.286Z
ENTRY-TXN-0003MV-00000216,TXN-0003MV-00000216,45888.59,INR,2026-08-19T17:43:22.176Z
ENTRY-TXN-0003MV-00000217,TXN-0003MV-00000217,32725.81,INR,2026-08-19T17:43:22.428Z
ENTRY-TXN-0003MV-00000218,TXN-0003MV-00000218,35405.41,INR,2026-08-19T17:43:22.430Z
ENTRY-TXN-0003MV-00000219,TXN-0003MV-00000219,26778.22,INR,2026-08-19T17:43:22.530Z
ENTRY-TXN-0003MV-00000220,TXN-0003MV-00000220,33369.63,INR,2026-08-19T17:43:22.743Z
ENTRY-TXN-0003MV-00000221,TXN-0003MV-00000221,13073.57,INR,2026-08-19T17:43:22.762Z
ENTRY-TXN-0003MV-00000222,TXN-0003MV-00000222,2696.50,INR,2026-08-19T17:43:22.600Z
ENTRY-TXN-0003MV-00000223,TXN-0003MV-00000223,32075.70,INR,2026-08-19T17:43:23.035Z
ENTRY-TXN-0003MV-00000224,TXN-0003MV-00000224,4309.84,INR,2026-08-19T17:43:23.307Z
ENTRY-TXN-0003MV-00000225,TXN-0003MV-00000225,45769.37,INR,2026-08-19T17:43:23.139Z
ENTRY-TXN-0003MV-00000227,TXN-0003MV-00000227,47220.33,INR,2026-08-19T17:43:22.852Z
ENTRY-TXN-0003MV-00000228,TXN-0003MV-00000228,41815.63,INR,2026-08-19T17:43:23.397Z
ENTRY-TXN-0003MV-00000229,TXN-0003MV-00000229,49135.47,INR,2026-08-19T17:43:23.538Z
ENTRY-TXN-0003MV-00000230,TXN-0003MV-00000230,19428.39,INR,2026-08-19T17:43:23.595Z
ENTRY-TXN-0003MV-00000231,TXN-0003MV-00000231,48834.06,INR,2026-08-19T17:43:23.913Z
ENTRY-TXN-0003MV-00000232,TXN-0003MV-00000232,7435.55,INR,2026-08-19T17:43:24.057Z
ENTRY-TXN-0003MV-00000233,TXN-0003MV-00000233,35182.16,INR,2026-08-19T17:43:23.959Z
ENTRY-TXN-0003MV-00000234,TXN-0003MV-00000234,7211.39,INR,2026-08-19T17:43:24.134Z
ENTRY-TXN-0003MV-00000235,TXN-0003MV-00000235,24734.44,INR,2026-08-19T17:43:23.959Z
ENTRY-TXN-0003MV-00000236,TXN-0003MV-00000236,38415.65,INR,2026-08-19T17:43:24.225Z
ENTRY-TXN-0003MV-00000237,TXN-0003MV-00000237,44101.96,INR,2026-08-19T17:43:24.400Z
ENTRY-TXN-0003MV-00000238,TXN-0003MV-00000238,34148.93,INR,2026-08-19T17:43:24.508Z
ENTRY-TXN-0003MV-00000239,TXN-0003MV-00000239,44989.00,INR,2026-08-19T17:43:24.757Z
ENTRY-TXN-0003MV-00000240,TXN-0003MV-00000240,12593.74,INR,2026-08-19T17:43:24.532Z
ENTRY-TXN-0003MV-00000241,TXN-0003MV-00000241,11098.53,INR,2026-08-19T17:43:24.702Z
ENTRY-TXN-0003MV-00000242,TXN-0003MV-00000242,21788.18,INR,2026-08-19T17:43:24.755Z
ENTRY-TXN-0003MV-00000243,TXN-0003MV-00000243,3950.64,INR,2026-08-19T17:43:24.913Z
ENTRY-TXN-0003MV-00000244,TXN-0003MV-00000244,42048.02,INR,2026-08-19T17:43:25.136Z
ENTRY-TXN-0003MV-00000247,TXN-0003MV-00000247,26231.44,INR,2026-08-19T17:43:25.131Z
ENTRY-TXN-0003MV-00000248,TXN-0003MV-00000248,5073.91,INR,2026-08-19T17:43:25.492Z
ENTRY-TXN-0003MV-00000249,TXN-0003MV-00000249,905.61,INR,2026-08-19T17:43:25.443Z
ENTRY-TXN-0003MV-00000250,TXN-0003MV-00000250,49773.24,INR,2026-08-19T17:43:25.951Z
ENTRY-TXN-0003MV-00000251,TXN-0003MV-00000251,26030.32,INR,2026-08-19T17:43:25.943Z
ENTRY-TXN-0003MV-00000252,TXN-0003MV-00000252,47837.03,INR,2026-08-19T17:43:26.050Z
ENTRY-TXN-0003MV-00000253,TXN-0003MV-00000253,35742.16,INR,2026-08-19T17:43:25.754Z
ENTRY-TXN-0003MV-00000254,TXN-0003MV-00000254,42398.64,INR,2026-08-19T17:43:25.939Z
ENTRY-TXN-0003MV-00000255,TXN-0003MV-00000255,19093.88,INR,2026-08-19T17:43:26.115Z
ENTRY-TXN-0003MV-00000256,TXN-0003MV-00000256,47775.66,INR,2026-08-19T17:43:26.140Z
ENTRY-TXN-0003MV-00000257,TXN-0003MV-00000257,26785.97,INR,2026-08-19T17:43:26.262Z
